,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
445,ReleaseEvent,2015-09-23 23:14:59+00:00,12848640,paulgb/runipy,3019665,jakirkham,,,published,v0.1.1,v0.1.1: added progress_callback to README,
471,ReleaseEvent,2015-04-20 06:47:30+00:00,18157561,saghul/aiodns,317464,saghul,,,published,aiodns-0.3.1,,"- Adapt to Trollius package rename
- Fixed stopping watching file descriptor"
726,ReleaseEvent,2016-03-27 02:37:23+00:00,50903853,AnalogJ/lexicon,13824387,CapsuleCD,,,published,v1.0.14,v1.0.14,"Timestamp |  SHA | Message | Author 
------------- | ------------- | ------------- | ------------- 
2016-03-27 02:29:42+0000 | [`966066acf`](https://github.com/AnalogJ/lexicon/commit/966066acf72435cdf068c1faea086ec8cd983da4) | fixed dnsmadeeasy, (id, ttl is required in the payload). Readded previously skipped tests, added new vcr recordings. | Jason Kulatunga 
"
807,ReleaseEvent,2017-08-10 01:19:00+00:00,89026317,jalan/pdftotext,305841,jalan,,,published,v2.0.1,v2.0.1,v2.0.1
905,ReleaseEvent,2015-02-10 03:44:13+00:00,12668735,secynic/ipwhois,5407541,secynic,,,published,v0.10.1,Version 0.10.1,
956,ReleaseEvent,2016-01-25 17:12:56+00:00,49349828,Phlya/adjustText,2895034,Phlya,,,published,0.5,,
1214,ReleaseEvent,2018-03-18 18:07:35+00:00,112461400,axnsan12/drf-yasg,6382979,axnsan12,,,published,1.5.1,1.5.1,"- **IMPROVED:** updated ``swagger-ui`` to version 3.13.0
- **FIXED:** fixed a crash caused by ``serializers.OneToOneRel`` (#81, thanks to @ko-pp)"
1234,ReleaseEvent,2018-07-21 11:38:09+00:00,84231584,deadc0de6/dotdrop,8973919,deadc0de6,,,published,v0.17.2,v0.17.2,"* add `link_by_default` option for `import`
* create dir hierarchy even when not containing files
* add example script to mass update config file and `link` tag
* more debug logs
* refactoring"
1600,ReleaseEvent,2018-04-30 10:29:07+00:00,5806020,rueckstiess/mtools,15554,stennie,,,published,v1.4.0,mtools 1.4.0,"This release of mtools has a number of significant improvements:

* Improve testing and documentation infrastructure (#542)
   - Add tox (#543)
   - Fix flake8 violations (#544)
   - Fix isort violations (#545)
   - Fix PEP 257 violations (#546)
   - Add RST documentation (#548)
* Make code compatible with both Python 2.7 and 3.6 (#527)
   - Add py36 environment for tox & Travis (#587)
* mlaunch: Error while creating replica set with name and auth args (#476)
* mlaunch: Testing for MongoDB 3.6 (#531)
* mlaunch: Using --hostname causes deploying failure in 3.6 (#554)
* mlaunch: psutil dependency missing (#557)
* mlaunch: Require shard servers to be replica sets (3.6.1+) (#567)
* mlaunch: Force `mlaunch --csrs` when ""version"" is `0.0.0` (#576)
* mlaunch: Create user with SCRAM-SHA-1 mechanism (#574)
* mlaunch: Allow starting 3.6 clusters with PyMongo 3.6.1 (#575)
* mlaunch: Use correct path separator according to OS (#584)
* mlaunch: Support path parameters containing spaces (#578)
* mlaunch: Update psutil requirement to 5.4.2 (#590)
* mloginfo: Test using current year rather than hardcoded value (#568)

Thanks to @kallimachos, @kevinadi, @sindbach, @ajdavis, @jaraco, @devkev,
@stephentunney, @shaneharvey, and @stennie for contributions to this release!

To install, run:

    pip install mtools --upgrade

See [CHANGES.rst](https://github.com/rueckstiess/mtools/blob/develop/CHANGES.rst) for a full change history.
"
1757,ReleaseEvent,2018-02-07 22:33:44+00:00,9760336,iheanyi/bandcamp-dl,1984403,Evolution0,,,published,v0.0.8-10,bandcamp-dl 0.0.8-10,Fixed #138 for all terminals hopefully.
1835,ReleaseEvent,2018-01-24 16:05:48+00:00,118506495,sepandhaghighi/pycm,7515099,sepandhaghighi,,,published,v0.2,Version 0.2,"1.  New parameters added : 

- Population
- Condition positive
- Condition negative
- Test outcome positive
- Test outcome negative
- Prevalence
- G-measure

2. matrix & normalized_matrix method added
3. params method added
"
1969,ReleaseEvent,2017-06-13 02:12:27+00:00,90407498,jbasko/configmanager,632910,jbasko,,,published,v1.24.3,v1.24.3,Hide old documentation. Replace with simple Q&A for now.
2453,ReleaseEvent,2016-06-10 17:11:30+00:00,52094644,thombashi/DataProperty,15517661,thombashi,,,published,v0.3.1,,
