,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
377,ReleaseEvent,2016-10-10 15:23:39+00:00,12535703,csparpa/pyowm,5172190,csparpa,,,published,2.5.0,2.5.0," * New features:
    - Air Pollution data API endpoints: `OWM25.coindex_around_coords`, `OWM25.ozone_around_coords`
    - UV data endpoint: `OWM25.uvindex_around_coords`
 * Bugfixes:
    - fixed `OWM25.is_API_online` method (was not working)
    - more robust support for querying data on Unicode place names
  * Enhancements: now datetime objects across all library are timezone-aware
  * [PyOWM Slack team](http://pyowm-slackin.herokuapp.com/) is live!"
418,ReleaseEvent,2016-11-07 20:28:03+00:00,17638981,gmr/srvlookup,49469,gmr,,,published,1.0.0,Production / Stable Release,- Updates sorting to include sorting by both priority and weight.
419,ReleaseEvent,2018-01-07 16:15:43+00:00,53763442,hni14/jismesh,9910489,hni14,,,published,v1.3.0,v1.3.0,"・to_envelop関数追加
・to_intersects関数追加
・to_meshpoint関数からメッシュコード次数の引数を削除"
864,ReleaseEvent,2018-07-21 11:44:29+00:00,11380094,msiemens/tinydb,1873922,msiemens,,,published,v3.9.0,,
869,ReleaseEvent,2018-08-31 06:46:58+00:00,137444487,mwouts/jupytext,29915202,mwouts,,,published,v0.6.1,Version 0.6.1,"**Improvements**

- Package and conversion script renamed from `nbrmd` to `jupytext`.
- Cell parsing and exporting done in two specialized classes. This is way
easier to read. Pylint score at 9.9 !
- Python file format updated to 1.1: default end of cell for python scripts is
one blank space. Two blank spaces are allowed as well. Now you can reformat
code in Python IDE without breaking notebook cells (#38).
- Added support for plain markdown files (#40, #44).
- Demonstration notebooks more user friendly (#45).
- Command line tool simpler to use (#46).
- Start code patterns present in Jupyter cells are escaped.
- Default `nbrmd_format` is empty (mwouts/nbsrc/#5): no Jupyter notebook
is created on disk when the user opens a Python or R file and saves it from
Jupyter, unless the users asks for it by setting `nbrmd_format`.

**BugFixes**

- Fixed message in the `nbsrc` script (#43)
- Technical metadata don't appear any more in scripts unless required (#42)
- Code cells that are fully commented remain code cells after round trip (#41)"
1255,ReleaseEvent,2017-07-30 18:58:48+00:00,15408116,ergoithz/browsepy,5426406,ergoithz,,,published,0.5.4,,
1552,ReleaseEvent,2017-10-20 19:57:02+00:00,59235,mkleehammer/pyodbc,27421,mkleehammer,,,published,4.0.18,Fixes,"This is a primarily a fix patch, thought it does contain one new feature that is turned off by default:

The feature is an optimized `Cursor.executemany` that binds parameters into an array to drastically reduce network round trips.  This can be a major speedup, but this preliminary version is turned off by default because it can only be used with drivers that use UCS-2 exclusively and that properly deal with the ODBC numeric structure.  Right now I would recommend only using this with SQL Server on Windows.  This feature will be tweaked in the near future to support as many drivers as possible and to use the configured encodings.

## Fixes

* Add a workaround for building on macOS High Sierra.
* Add support for building with homebrew unixODBC
* Fix Unicode error messages that were sometimes garbled in the past.
* Fix Cursor.columns, primaryKeys, and similar metadata methods that would not allow `None` passed in for optional keyword parameters such as `Cursor.columns('t1', schema=None)`.
"
1603,ReleaseEvent,2016-01-31 06:40:15+00:00,49825187,thombashi/tcconfig,15517661,thombashi,,,published,v0.1.2,v0.1.2,
1846,ReleaseEvent,2015-09-05 00:44:06+00:00,34479027,robshakir/pyangbind,4836821,robshakir,,,published,rel.02,release.02,"Updated pyangbind release with many new features, see README and CHANGELOG."
1935,ReleaseEvent,2018-06-09 04:44:41+00:00,94730967,bachya/regenmaschine,47216,bachya,,,published,v1.0.1,1.0.1,* Removing errors from public API
