,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
699,ReleaseEvent,2017-10-04 19:15:09+00:00,15584383,proycon/flat,75427,proycon,,,published,v0.7.8,v0.7.8,"* Added option to exclude certain classes from a set definition (for the editor) #118 
* Improvements for metadata editor
* Added ``autometadata`` configuration option, specifying metadata defaults"
853,ReleaseEvent,2016-09-08 22:51:21+00:00,11186886,irmen/Serpent,1771820,irmen,,,published,serpent-1.13,release 1.13 for .NET and Java,"Custom class converters now apply to inheritance tree rather than just one specific class.

This is a java and .NET only release, the Python version is unchanged."
1893,ReleaseEvent,2016-11-13 13:22:13+00:00,9923468,boppreh/keyboard,231856,boppreh,,,published,v0.9.2,v0.9.2,- Streamline release process
2465,ReleaseEvent,2015-09-14 16:20:29+00:00,21275228,fitnr/convertdate,714125,fitnr,,,published,2.0.5,2.0.5,"Bug fixes:
* Fix Yom Kippur error in holidays.py (issue #3)
"
2567,ReleaseEvent,2018-04-12 10:55:46+00:00,110824647,mattpitkin/psrqpy,1421092,mattpitkin,,,published,v0.4.11,v0.4.11,Fix problem with the `get_catalogue()` function in Python 3 that was not fixed in release [v0.4.10](https://github.com/mattpitkin/psrqpy/releases/tag/v0.4.10).
2720,ReleaseEvent,2017-01-26 16:18:53+00:00,63634896,pvizeli/ha-ffmpeg,15338540,pvizeli,,,published,1.1,HA-FFmpeg Release 1.1,- Bugfix version
3070,ReleaseEvent,2018-04-30 10:36:26+00:00,79981521,raghur/easyblogger,516267,raghur,,,published,v3.0.0,Full support for legacy and new style frontmatter,"This release brings support for legacy frontmatter format with the new style frontmatter.
Also gets rid of regex munging - using YAML for legacy frontmatter parsing."
3130,ReleaseEvent,2016-08-13 06:54:57+00:00,49825187,thombashi/tcconfig,15517661,thombashi,,,published,v0.6.4,,- Fix package dependency
3249,ReleaseEvent,2015-07-31 16:14:42+00:00,33266451,JimmXinu/FanFicFare,11446969,JimmXinu,,,published,v2.2.11,FanFicFare v2.2.11,"This is the production version of the project FanFicFare.  This project was previously published under the name FanFictionDownLoader(FFDL).

# Installation instructions:

Plugin:
---

Install zip attached file.

Web service:
---

http://fanficfare.appspot.com/

Command line interface:
---
Rather being delivered as a zip file with dependencies included, FanFicFare is now delivered as a proper `pip` Python package.  It's been tested on Python 2.6 and 2.7, but not on Python 3.

`pip install FanFicFare`
or
`pip install --upgrade FanFicFare`
...to update.

(pip will automatically install dependencies beautifulsoup4, html5lib, chardet and six.)

Run `fanficfare -h` from command-line.

Changes:

- Fixes for spikeluver.com

- Add new site ninelives.dark-solace.org (Base eFiction adapter)

- Add new Russian language site masseffect2.in -- Thanks to @PlushBeaver for adding this.

- New sites forums.spacebattles.com and forums.sufficientvelocity.com, both base_xenforoforum adapters sharing almost all their code.

(Forums are not really designed to host story, but people use them that way anyway. I recently started reading a fandom (the Worm web serial by Wildbow) and the largest collection of stories I found for it was on a couple of near identical forum sites.)

SpaceBattles Creative Writing
https://forums.spacebattles.com/forums/creative-writing.18/

SufficientVelocity User Fiction
https://forums.sufficientvelocity.com/forums/user-fiction.2/

The details are complex enough that I've started a new wiki page for future reference. Please refer to it for more details:
https://github.com/JimmXinu/FanFicFare/wiki/BaseXenForoForumAdapters

- New [base_efiction] and [base_xenforoforum] sections for common settings for eFiction Base and XenForoForum Base adapters respectively.

- Add chapter range to title if used. Can be disabled in ini with title_chapter_range_pattern.

- New description_limit feature to explicitly limit the allowable length of the description. (description_limit)

- New feature to mark ""New"" chapters when updating existing epub stories.

When mark_new_chapters:true is placed in personal.ini, the system will now mark the new chapters. The string ""(new)"" is prepended to the chapter title (but after added chapter numbers, if enabled).

If an epub already contain ""New"" chapter marks is updated again adding more new chapters, the ""New"" marks will show on both until explicit removed (or file is overwritten).

Users who have customized chapter_start for epub will need to add some additional tags to use the new features.

- Save additional chapter metadata in header of epub chapter xhtml files. Used to determine which chapters to download on update and 'Remove ""New"" Chapter marks'.

- Remove ""New"" Chapter Marks from Selected books feature added to Plugin Menu

Once you start marking new chapters to read, you also need a way to unmark them. Configurably auto 'Remove ""New""' on 'Mark ""Read""' (see checkbox on config 'Reading Lists' tab). Automatically apply 'Delete other formats' and 'Auto Run convert' features when you use Remove ""New"" Chapter Marks--both explicitly and by marking 'read'.

- New CLI --unnew option - same as above, but for CLI.

- Add 'Download from Email Immediately' optional feature to plugin Email settings tab.

"
3262,ReleaseEvent,2018-03-17 23:07:31+00:00,2294792,Kwpolska/pkgbuilder,327323,Kwpolska,,,published,v4.2.15,,* Avoid crashes if package name contains `+` signs (or other characters not allowed in regular expressions).
3379,ReleaseEvent,2016-08-03 06:25:00+00:00,11820959,craffel/pretty-midi,417568,craffel,,,published,v0.2,Second release,
3383,ReleaseEvent,2016-10-28 15:26:12+00:00,41542522,cztomczak/cefpython,1187415,cztomczak,,,published,v55.1,CEF Python 55.1 beta for Linux (Python 2.7 / 3.4 / 3.5 / 3.6),"Also installable with PIP 8.1+ using command:
```
pip install cefpython3==55.1
```

__Changes in this Release__:
* Update to Chrome 55.0.2883.21 (beta channel) and CEF 3.2883.1506.ga6c42a7 (#263)
* Add support for Python 3.6 (#121)
* Fix ""undefined symbol: PyFPE_jbuf"" when importing cefpython's Python 2.7 .so module (#266)

__Notes on examples__:
* Examples provided with this release: hello_world.py, gtk2.py, tkinter_.py and kivy_.py
* For PyQt4/PySide examples see [this comment](https://github.com/cztomczak/cefpython/issues/234#issuecomment-229607596) (tested with python 2.7)"
3507,ReleaseEvent,2017-08-09 11:38:33+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,published,0.4.3,0.4.3,* Catches unintended HTTP exceptions and prints a useful stacktrace if log_level is set to DEBUG.
3630,ReleaseEvent,2017-12-12 18:14:27+00:00,80448443,pierky/arouteserver,6806218,pierky,,,published,v0.16.1,,"- Fix: handle the new version of the JSON schema built by [arin-whois-bulk-parser](https://github.com/NLNOG/arin-whois-bulk-parser>).
"
3971,ReleaseEvent,2017-06-03 02:40:12+00:00,90407498,jbasko/configmanager,632910,jbasko,,,published,v1.11.2,v1.11.2,Documentation update
4262,ReleaseEvent,2018-04-13 18:46:26+00:00,6054289,niklasf/python-chess,402777,niklasf,,,published,v0.23.1,,
4421,ReleaseEvent,2017-05-02 09:28:57+00:00,67365593,danicarrion/pyrestcli,498023,danicarrion,,,published,v0.6.3,v0.6.3,
4546,ReleaseEvent,2015-04-05 22:19:45+00:00,32343292,ionelmc/python-hunter,129501,ionelmc,,,published,v0.5.0,,"* Fixed `And` and `Or` ""single argument unwrapping"".
* Implemented predicate compression. Example: `Or(Or(a, b), c)` is converted to `Or(a, b, c)`.
* Renamed the `Event.source` to `Event.fullsource`.
* Added `Event.source` that doesn't do any fancy sourcecode tokenization.
* Fixed `Event.fullsource` return value for situations where the tokenizer would fail.
* Made the print function available in the PYTHONHUNTER env var payload.
* Added a `__repr__` for `Event`.
"
4580,ReleaseEvent,2017-07-28 19:51:45+00:00,57457466,jparise/flake8-author,10311,jparise,,,published,1.1.3,1.1.3,"### Patch release

``` sh
$ pip install flake8-author==1.1.3
```
- Drop the `setup_requires` dependency on flake8.
"
4842,ReleaseEvent,2017-11-01 15:09:07+00:00,107342310,dwhswenson/autorelease,8178546,dwhswenson,,,published,v0.0.7,autorelease 0.0.7,"# autorelease 0.0.7

- tags branches allow version equality (instead of requiring a version increase)

The `0.0.x` series is for experimental releases."
