,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
74,ReleaseEvent,2018-05-12 15:03:52+00:00,55258005,jopohl/urh,18219846,jopohl,,,published,untagged-9b007ee06269f8f2d8cc,,
704,ReleaseEvent,2015-06-05 21:28:22+00:00,8600174,Lagg/steamodd,2509793,Lagg,,,published,v4.19,Version 4.19 Yay-sphinx-docs Release,"This is just a quick release partly for posterity since after so long steamodd is finally getting documented properly but also because of the lobby ID property. Apparently it's going to be useful for people soon so might as well.

* Added `lobbysteamid` property to `steam.user.profile` (@miedzinski)

* (Finally) added more formal documentation. A sphinx build of these can be found on [readthedocs](http://steamodd.readthedocs.org/en/latest/) (@ondrowan)"
713,ReleaseEvent,2018-08-27 18:54:49+00:00,87705200,amanusk/s-tui,7280933,amanusk,,,published,v0.8.2,v0.8.2,"## Whats new?
* Add timer for measuring stress test duration
* Remove `distutils` dependency 
* Change update temperature sensor function for better performance
* Performance improvements and faster load
* Fix for bug #79 

"
821,ReleaseEvent,2016-02-03 19:50:04+00:00,27025717,jaedb/spotmop,1711444,jaedb,,,published,2.5.12,2.5.12,"- Allow nested settings properties (ie `version.installed`)
- Parallax on featured banner"
825,ReleaseEvent,2018-05-03 19:02:25+00:00,53005545,kislyuk/aegea,862013,kislyuk,,,published,v2.2.0,v2.2.0,"- Get correct IAM username for cross-account SSH
    
    - Bump dependencies"
885,ReleaseEvent,2015-09-23 23:15:14+00:00,12848640,paulgb/runipy,3019665,jakirkham,,,published,v0.1.2,"v0.1.2: version bump, increased ipython requirement",
1259,ReleaseEvent,2015-04-02 17:30:47+00:00,1408162,jpadilla/pyjwt,83319,jpadilla,,,published,1.0.1,v1.0.1,"# Changelog
- [BUGFIX] Include `jwt/contrib' and `jwt/contrib/algorithms` when installing. Ref 882524d845349df532e2a96b30fbe7e74e6ff55c"
1463,ReleaseEvent,2017-02-09 13:08:44+00:00,79113952,anderskm/gputil,4207617,anderskm,,,published,v1.2.0,Renamed to GPUtil and ready for PyPI,"Project have been renamed to GPUtil to avoid confusion with the slightly similar GPUstats python script here on github.
The project have also been prepared for PyPI, so that it can easily be installed and upgraded through `pip install`."
1474,ReleaseEvent,2017-09-14 09:00:09+00:00,43131469,bjodah/pyodesys,485936,bjodah,,,published,v0.10.1,pyodesys-0.10.1,
1545,ReleaseEvent,2015-12-15 18:28:24+00:00,46757944,garnaat/placebo,2056,garnaat,,,published,0.4.3,0.4.3,Fixed missing README.md and requirements.txt file.
1619,ReleaseEvent,2018-08-29 21:39:00+00:00,76513276,kislyuk/domovoi,862013,kislyuk,,,published,v1.7.9,v1.7.9,"Fix essential logging, take 2"
1721,ReleaseEvent,2016-05-10 12:36:38+00:00,58164254,nibrag/aiosocks,6500446,nibrag,,,published,v0.1.3,,
1804,ReleaseEvent,2015-11-09 04:21:04+00:00,22752008,snower/TorMySQL,2220463,snower,,,published,0.1.7,0.1.7,fix connection pool connect refuse cant not continue
1906,ReleaseEvent,2016-11-27 01:26:01+00:00,58268745,cmbruns/pyopenvr,2649705,cmbruns,,,published,1.0.0401,PyOpenvr version 1.0.0401,"See the front page for documentation and more information https://github.com/cmbruns/pyopenvr
Please report problems and suggestions at our issues page https://github.com/cmbruns/pyopenvr/issues

Release Notes:
* Update for OpenVR release 1.04

Installation:
* ensure you have either Python 2.7+ or Python 3.5+ installed
* ensure SteamVR is installed and working correctly
* either 'pip install ovpenvr', or use installer below
"
