,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_id,pr_node_id,pr_title,pr_state,pr_locked,pr_number,pr_body,pr_issue_url,pr_merged_at,pr_closed_at,pr_updated_at,pr_commits,pr_additions,pr_deletions,pr_changed_files,pr_author_association,pr_assignees,pr_requested_reviewers,pr_requested_teams,pr_merged_by_login,pr_merged_by_id,pr_merged_by_type,pr_merged_by_site_admin,pr_label,pr_patch_url,pr_commits_url
50,PullRequestEvent,2018-05-19 09:12:36+00:00,93209191,cemsbr/yala,16239342,pyup-bot,,,189179473,,Update gitpython to 2.1.10,open,False,87,"
This PR updates [gitpython](https://pypi.org/project/gitpython) from **2.1.8** to **2.1.10**.



<details>
  <summary>Changelog</summary>
  
  
   ### 2.1.10
   ```
   =================

see the following for (most) details:
https://github.com/gitpython-developers/gitpython/milestone/25?closed=1

or run have a look at the difference between tags v2.1.9 and v2.1.10:
https://github.com/gitpython-developers/GitPython/compare/2.1.9...2.1.10

2.1.9 - Dropping support for Python 2.6
=======================================

see the following for (most) details:
https://github.com/gitpython-developers/gitpython/milestone/24?closed=1

or run have a look at the difference between tags v2.1.8 and v2.1.9:
https://github.com/gitpython-developers/GitPython/compare/2.1.8...2.1.9
   ```
   
  
</details>


 

<details>
  <summary>Links</summary>
  
  - PyPI: https://pypi.org/project/gitpython
  - Changelog: https://pyup.io/changelogs/gitpython/
  - Repo: https://github.com/gitpython-developers/GitPython
  - Docs: https://pythonhosted.org/GitPython/
</details>

",https://api.github.com/repos/cemsbr/yala/issues/87,,,2018-05-19T09:12:36Z,1,1,1,1,CONTRIBUTOR,[],[],[],,,,,[],https://github.com/cemsbr/yala/pull/87.patch,https://api.github.com/repos/cemsbr/yala/pulls/87/commits
75,PullRequestEvent,2018-04-25 23:45:06+00:00,10031150,emre/kaptan,26336,tony,,,184149655,,Update sphinx to 1.7.4,closed,False,81,"
This PR updates [sphinx](https://pypi.org/project/sphinx) from **1.7.3** to **1.7.4**.



<details>
  <summary>Changelog</summary>
  
  
   ### 1.7.4
   ```
   =====================================

Bugs fixed
----------

* 4885, 4887: domains: Crashed with duplicated objects
* 4889: latex: sphinx.writers.latex causes recusrive import
   ```
   
  
</details>


 

<details>
  <summary>Links</summary>
  
  - PyPI: https://pypi.org/project/sphinx
  - Changelog: https://pyup.io/changelogs/sphinx/
  - Homepage: http://sphinx-doc.org/
</details>

",https://api.github.com/repos/emre/kaptan/issues/81,2018-04-25T23:45:05Z,2018-04-25T23:45:05Z,2018-04-25T23:45:05Z,2,1,1,1,CONTRIBUTOR,[],[],[],tony,26336,User,False,[],https://github.com/emre/kaptan/pull/81.patch,https://api.github.com/repos/emre/kaptan/pulls/81/commits
105,PullRequestEvent,2018-07-20 07:12:50+00:00,65468547,jd/tenacity,37929162,mergify[bot],,,201750582,MDExOlB1bGxSZXF1ZXN0MjAxNzUwNTgy,Add retry_if_exception_message,closed,False,127,"From issue #125.

Add retry classes for exception messages.

I'm very open to name suggestions. Specifically wondering if `retry_if_not_exception_message` or `retry_until_exception_message` is best.

`retry_if_exception_message` and it's complement act different out of necessity. The normal class can end if there is no exception whereas it's inverse needs to retry if there is no exception message.

It's worth noting in my branch unit tests are intermittently failing on [wait class backwards incompatibility](https://travis-ci.org/Brian-Williams/tenacity/jobs/405236070#L470). I don't believe this is caused by any of my changes, but it's worth noting.",https://api.github.com/repos/jd/tenacity/issues/127,2018-07-20T07:12:49Z,2018-07-20T07:12:49Z,2018-07-20T07:12:50Z,1,138,4,3,CONTRIBUTOR,[],[],[],mergify[bot],37929162,Bot,False,[],https://github.com/jd/tenacity/pull/127.patch,https://api.github.com/repos/jd/tenacity/pulls/127/commits
153,PullRequestEvent,2016-04-30 01:50:17+00:00,11737385,Dav1dde/glad,10362852,yerejm,,,68453983,,cmake: allow cmake to use primary python,open,False,50,"In CMakeLists.txt, this seems unnecessary:

`set(Python_ADDITIONAL_VERSIONS 2)`

Using pyenv where both python 2 and python 3 are present, but where python 3 is the default python in use, this line seems to make cmake favour python 2, resulting in failure to find python.",https://api.github.com/repos/Dav1dde/glad/issues/50,,,2016-04-30T01:50:17Z,1,0,1,1,[],[],[],[],,,,,[],https://github.com/Dav1dde/glad/pull/50.patch,https://api.github.com/repos/Dav1dde/glad/pulls/50/commits
160,PullRequestEvent,2016-02-12 14:21:56+00:00,20857415,Kuniwak/vint,1124024,Kuniwak,,,59178752,,Update readme,open,False,160,,https://api.github.com/repos/Kuniwak/vint/issues/160,,,2016-02-12T14:21:56Z,2,12,1,2,[],[],[],[],,,,,[],https://github.com/Kuniwak/vint/pull/160.patch,https://api.github.com/repos/Kuniwak/vint/pulls/160/commits
214,PullRequestEvent,2016-11-18 15:44:33+00:00,6662075,joke2k/faker,89607,fcurella,,,92012199,,Fix `pyfloat`,closed,False,418,,https://api.github.com/repos/joke2k/faker/issues/418,2016-11-18T15:44:32Z,2016-11-18T15:44:32Z,2016-11-18T15:44:32Z,3,30,7,2,[],[],[],[],fcurella,89607,User,False,[],https://github.com/joke2k/faker/pull/418.patch,https://api.github.com/repos/joke2k/faker/pulls/418/commits
217,PullRequestEvent,2016-07-19 15:30:52+00:00,6662075,joke2k/faker,200407,braintreeps,,,77997949,,Make country code configurable,open,False,365,"# Problem

The base class `faker/providers/phone_number/__init__.py` provides a default phone number method for generating random numbers using the supplied format. Each locale `Provider` overrides the formats with those particular to that local.

We only want to use a subset of these formats; those with country codes and without extensions/

# Solution

This PR does 3 things (3 commits, best reviewed separately):

- 1. Creates new public methods for phone numbers explicitly with and without country codes, while maintaining functionality for the preexisting `phone_number` method (randomly selects with or without country code)

- 2. Removes extensions from the base formats (used in all public methods) and adds them back in only to the previously `phone_number`

- 3. Adds in missing locales",https://api.github.com/repos/joke2k/faker/issues/365,,,2016-07-19T15:30:52Z,3,341,280,43,[],[],[],[],,,,,[],https://github.com/joke2k/faker/pull/365.patch,https://api.github.com/repos/joke2k/faker/pulls/365/commits
222,PullRequestEvent,2018-03-08 00:42:31+00:00,6662075,joke2k/faker,1222726,dchudz,,,173611540,,use `r'...'` to avoid deprecated syntax,open,False,718,"Before this changer (with faker `pip install -e .`'d in a fresh venv):

```
$PYTHONWARNINGS=""error::DeprecationWarning"" python -c ""from faker.providers import BaseProvider""
Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
  File ""/Users/davidchudzicki/faker/faker/__init__.py"", line 4, in <module>
    from faker.factory import Factory
  File ""/Users/davidchudzicki/faker/faker/factory.py"", line 10, in <module>
    from faker.config import DEFAULT_LOCALE, PROVIDERS, AVAILABLE_LOCALES
  File ""/Users/davidchudzicki/faker/faker/config.py"", line 14, in <module>
    AVAILABLE_LOCALES = find_available_locales(PROVIDERS)
  File ""/Users/davidchudzicki/faker/faker/utils/loading.py"", line 32, in find_available_locales
    provider_module = import_module(provider_path)
  File ""/Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/importlib/__init__.py"", line 126, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File ""/Users/davidchudzicki/faker/faker/providers/internet/__init__.py"", line 12, in <module>
    from faker.utils.decorators import lowercase, slugify, slugify_unicode
  File ""/Users/davidchudzicki/faker/faker/utils/decorators.py"", line 5, in <module>
    from faker.utils import text
  File ""/Users/davidchudzicki/faker/faker/utils/text.py"", line 11
    _re_pattern = re.compile('[^\w\s-]', flags=re.U)
                            ^
SyntaxError: invalid escape sequence \w
```

After this change, all is well:

```
$PYTHONWARNINGS=""error::DeprecationWarning"" python -c ""from faker.providers import BaseProvider""
<no problems>
```

Using the `r'...'` form is consistent with what's used most other places in this repo already. This change just finishes it up.",https://api.github.com/repos/joke2k/faker/issues/718,,,2018-03-08T00:36:32Z,1,4,4,2,NONE,[],[],[],,,,,[],https://github.com/joke2k/faker/pull/718.patch,https://api.github.com/repos/joke2k/faker/pulls/718/commits
359,PullRequestEvent,2016-05-04 02:53:16+00:00,45852176,arose/nglview,4451957,hainm,,,68804904,,fix representation initialization,open,False,98,"Before, this code does not update `licorice` because it won't be called before the widget is created.

```python
view = nv.show_pytraj(...)
view.add_licorice()
view
```

However, we add all `_remote_call` to a list and call each functions right after the Widget is created and displayed. which make above code works.

Credit: learn a lot from [chemview](https://github.com/gabrielelanaro/chemview/blob/master/chemview/widget.py)",https://api.github.com/repos/arose/nglview/issues/98,,,2016-05-04T02:53:16Z,2,95,7,4,[],[],[],[],,,,,[],https://github.com/arose/nglview/pull/98.patch,https://api.github.com/repos/arose/nglview/pulls/98/commits
367,PullRequestEvent,2017-04-11 15:55:10+00:00,77868600,benjaminp/six,239125,leorochael,,,115354966,,Fix more issues with setuptools externally depending on six,open,False,190," - In tox. make sure we're running our tests with the checked out six, not some six installed in the virtualenv (#182).

- In `setup.py`, don't import six to get the version number (#188).

Also, fix some flake8 complains in tox.",https://api.github.com/repos/benjaminp/six/issues/190,,,2017-04-11T15:55:09Z,3,13,3,3,[],[],[],[],,,,,[],https://github.com/benjaminp/six/pull/190.patch,https://api.github.com/repos/benjaminp/six/pulls/190/commits
