,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
45,ReleaseEvent,2018-05-12 15:03:42+00:00,55258005,jopohl/urh,18219846,jopohl,,,published,untagged-4cc95d80e89aece997e4,,
96,ReleaseEvent,2018-03-14 13:37:27+00:00,18603138,WoLpH/mt940,270571,WoLpH,,,published,v4.11.0,v4.11.0,"Release v4.11.0

Created with GPGit
https://github.com/NicoHood/gpgit"
451,ReleaseEvent,2016-02-29 16:54:55+00:00,6662075,joke2k/faker,359076,joke2k,,,published,v0.5.4,v0.5.4,
814,ReleaseEvent,2018-02-16 19:58:27+00:00,37556070,gplepage/gvar,1808545,gplepage,,,published,v8.3.5,gvar version 8.3.5,Minor improvement in installation scripts.
826,ReleaseEvent,2016-03-07 21:10:59+00:00,27025717,jaedb/spotmop,1711444,jaedb,,,published,2.5.19,2.5.19,"- Rebuild of drag/drop functionality
- Simplification of scrolling, helps improve browser glitches from using fixed positioning
- Hotfix: search tracklist broken during previous release (#70)"
835,ReleaseEvent,2017-11-17 05:08:57+00:00,46321549,kislyuk/tweak,862013,kislyuk,,,published,v0.6.1,v0.6.1,- Fix broken release
1204,ReleaseEvent,2018-03-19 17:32:18+00:00,125806243,hankcs/pyhanlp,5326890,hankcs,,,published,v0.1.5,v0.1.5 新增演示服务器，兼容Python2,"0. 新增演示服务器。本地启动`hanlp serve`或访问 http://hanlp.hankcs.com/
0. 兼容Python2，感谢@Samurais"
1490,ReleaseEvent,2017-06-09 09:32:23+00:00,62424052,althonos/pronto,8660647,althonos,,,published,v0.7.4,,"* Make setup.py Python2.6 compatible
* Fix obo export to display synonyms in lexicographic order
* Fix terms not being exported in obo correctly
* Fix error occuring when calling `Synonym.obo`
* Fix bug causing synonyms not being imported from obo files"
1646,ReleaseEvent,2017-05-02 10:37:13+00:00,4477733,kevin1024/vcrpy,413772,graingert,,,published,v1.11.0,,"Allow injection of persistence methods + bugfixes (thanks @j-funk and @IvanMalison)
Support python 3.6 + CI tests (thanks @derekbekoe and @graingert)
Support pytest-asyncio coroutines (thanks @graingert)"
1734,ReleaseEvent,2015-02-03 21:16:07+00:00,3852351,meejah/txtorcon,145599,meejah,,,published,v0.12.0,v0.12.0,"-----BEGIN PGP SIGNED MESSAGE-----
Hash: SHA1

I'm pleased to announce txtorcon 0.12.0. Full list of improvements:

 * doc, code and import cleanups from Kali Kaneko
 * HiddenServiceDirGroupReadable support
 * Issue #80: honour ""ControlPort 0"" in incoming TorConfig
   instance. The caller owns both pieces: you have to figure out when
   it's bootstraped, and are responsible for killing it off.
 * Issue #88: clarify documentation and fix appending to some config lists
 * If GeoIP data isn't loaded in Tor, it sends protocol errors; if
   txtorcon also hasn't got GeoIP data, the queries for country-code
   fail; this error is now ignored.
 * 100% unit-test coverage!
 * PyPy support (as in: all tests pass)
 * TCP4HiddenServiceEndpoint now waits for descriptor upload before
   the listen() call does its callback (this means when using ""onion:""
   endpoint strings, or any of the endpoints APIs your hidden service
   is 100% ready for action when you receive the callback)
 * ""TorControlProtocol now has an "".all_routers"" member, which is a set() of all Routers
 * TimeIntervalCommaList from Tor config supported
 * documentation fix from ""sammyshj""

You can download the release from PyPI or GitHub (or of
course ""pip install txtorcon""):
   
   https://pypi.python.org/pypi/txtorcon/0.12.0
   https://github.com/meejah/txtorcon/releases/tag/v0.12.0

Releases are also available from the hidden service:
   
   http://timaq4ygg2iegci7.onion/txtorcon-0.12.0.tar.gz
   http://timaq4ygg2iegci7.onion/txtorcon-0.12.0.tar.gz.asc

You can verify the sha256sum of both by running the following 4 lines
in a shell wherever you have the files downloaded:

cat <<EOF | sha256sum --check
206b1bd8a840119c12d9b85d638ab9defec5b376436fa36be9139ab1ebc8cd78  txtorcon-0.12.0.tar.gz
4e4f6aa2ec677f6c27bff41d17888d31a979f6b831a20501101b39ca93ede9da  txtorcon-0.12.0-py2-none-any.whl
EOF


thanks,
meejah
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1.4.12 (GNU/Linux)

iQEcBAEBAgAGBQJU0TWHAAoJEMJgKAMSgGmnDEoH/AriLbAyImmcfmRy5C2YcVth
eJyXRhHTXc6WBh0tBgryt88o5n55XAwiqNoAwslLvS4RS6w9NEzA9zusimuVYEZs
CV10NeC5PiXHJ6qDlcJ+FPsHhWk4zt49wGtaqyfGK/8aZm9enQwiMH6j9Iwx6il0
rLFwm7RoukPTW8dn3oR67QFYwdpHD7cCQW8e6uajpQuBCeNr2nljRpVLFM/6hueh
shIAAmPGfBQ2vR16QOQDyJMCLk7oKj0xtzok8O4fWBof1+h3JvMQqphEYlgtE5Lh
9W0XgG/ugrrhjIIoKc29+4Io5vaqKjHcGfqEyJyEimppgGB/6YTX2fJNw2R3Op4=
=vaqH
-----END PGP SIGNATURE-----

"
